step,max_speed_change
2.000000,1.921589
3.000000,0.943524
4.000000,0.887849
5.000000,0.866924
6.000000,0.736069
7.000000,0.733154
8.000000,0.704879
9.000000,0.677676
10.000000,0.595348
11.000000,0.561319
12.000000,0.544362
13.000000,0.532602
14.000000,0.488010
15.000000,0.457563
16.000000,0.448964
17.000000,0.440159
18.000000,0.418395
19.000000,0.388729
20.000000,0.386964
21.000000,0.374994
22.000000,0.366342
23.000000,0.338651
24.000000,0.341414
25.000000,0.332981
26.000000,0.323660
27.000000,0.310446
28.000000,0.304584
29.000000,0.303041
30.000000,0.291137
31.000000,0.282139
32.000000,0.276564
33.000000,0.275234
34.000000,0.271247
35.000000,0.257643
36.000000,0.258781
37.000000,0.254031
38.000000,0.249370
39.000000,0.243968
40.000000,0.239668
41.000000,0.239645
42.000000,0.233834
43.000000,0.227585
44.000000,0.226410
45.000000,0.222241
46.000000,0.221521
47.000000,0.215439
48.000000,0.215039
49.000000,0.213501
50.000000,0.208578
51.000000,0.206309
52.000000,0.202681
53.000000,0.201608
54.000000,0.200261
55.000000,0.196924
56.000000,0.195989
57.000000,0.193364
58.000000,0.194406
59.000000,0.191294
60.000000,0.185080
61.000000,0.186880
62.000000,0.186440
63.000000,0.183594
64.000000,0.181103
65.000000,0.182136
66.000000,0.181654
67.000000,0.177881
68.000000,0.175393
69.000000,0.175884
70.000000,0.175372
71.000000,0.171999
72.000000,0.171251
73.000000,0.172075
74.000000,0.169705
75.000000,0.166195
76.000000,0.166409
77.000000,0.167033
78.000000,0.165080
79.000000,0.162564
80.000000,0.163335
81.000000,0.161417
82.000000,0.159547
83.000000,0.159047
84.000000,0.159414
85.000000,0.158032
86.000000,0.155693
87.000000,0.155143
88.000000,0.154742
89.000000,0.153769
90.000000,0.152351
91.000000,0.152580
92.000000,0.151053
93.000000,0.150459
94.000000,0.151017
95.000000,0.151043
96.000000,0.150290
97.000000,0.150131
98.000000,0.150480
99.000000,0.150263
100.000000,0.149209
101.000000,0.149472
102.000000,0.149518
103.000000,0.149028
104.000000,0.147944
105.000000,0.148376
106.000000,0.148130
107.000000,0.147279
108.000000,0.146773
109.000000,0.146864
110.000000,0.146346
111.000000,0.145167
112.000000,0.145231
113.000000,0.144989
114.000000,0.144196
115.000000,0.143081
116.000000,0.143354
117.000000,0.142839
118.000000,0.141783
119.000000,0.141229
120.000000,0.141227
121.000000,0.140463
122.000000,0.139197
123.000000,0.139184
124.000000,0.138890
125.000000,0.137928
126.000000,0.136794
127.000000,0.136921
128.000000,0.136462
129.000000,0.135356
130.000000,0.134676
131.000000,0.134642
132.000000,0.134018
133.000000,0.132803
134.000000,0.132545
135.000000,0.132369
136.000000,0.131656
137.000000,0.130395
138.000000,0.130497
139.000000,0.130231
140.000000,0.129424
141.000000,0.128647
142.000000,0.128567
143.000000,0.128237
144.000000,0.127521
145.000000,0.127106
146.000000,0.126800
147.000000,0.126455
148.000000,0.126228
149.000000,0.125876
150.000000,0.125357
151.000000,0.125256
152.000000,0.125418
153.000000,0.125173
154.000000,0.124551
155.000000,0.125009
156.000000,0.125300
157.000000,0.125201
158.000000,0.124733
159.000000,0.125474
160.000000,0.125841
161.000000,0.125694
162.000000,0.125715
163.000000,0.126419
164.000000,0.126616
165.000000,0.126224
166.000000,0.126882
167.000000,0.127275
168.000000,0.127075
169.000000,0.127121
170.000000,0.127642
171.000000,0.127464
172.000000,0.126988
173.000000,0.127584
174.000000,0.127362
175.000000,0.126657
176.000000,0.127008
177.000000,0.126761
178.000000,0.126825
179.000000,0.127227
180.000000,0.126829
181.000000,0.126700
182.000000,0.127087
183.000000,0.126646
184.000000,0.126199
185.000000,0.126540
186.000000,0.126001
187.000000,0.125278
188.000000,0.125541
189.000000,0.124857
190.000000,0.123942
191.000000,0.124060
192.000000,0.123233
193.000000,0.122169
194.000000,0.122134
195.000000,0.121237
196.000000,0.120013
197.000000,0.119860
198.000000,0.118863
199.000000,0.117549
200.000000,0.117301
201.000000,0.116274
202.000000,0.114841
203.000000,0.114558
204.000000,0.113543
205.000000,0.111937
206.000000,0.111709
207.000000,0.110787
208.000000,0.109289
209.000000,0.108813
210.000000,0.108080
211.000000,0.106789
212.000000,0.106005
213.000000,0.105472
214.000000,0.104459
215.000000,0.103336
216.000000,0.103029
217.000000,0.102306
218.000000,0.101155
219.000000,0.100783
220.000000,0.100340
221.000000,0.099501
222.000000,0.098816
223.000000,0.098576
224.000000,0.098034
225.000000,0.097758
226.000000,0.097932
227.000000,0.097699
228.000000,0.097195
229.000000,0.096512
230.000000,0.095678
231.000000,0.096118
232.000000,0.096050
233.000000,0.095665
234.000000,0.095039
235.000000,0.094644
236.000000,0.094263
237.000000,0.094284
238.000000,0.094971
239.000000,0.094893
240.000000,0.094675
241.000000,0.094362
242.000000,0.093952
243.000000,0.093424
244.000000,0.093116
245.000000,0.093477
246.000000,0.093417
247.000000,0.093089
248.000000,0.092588
249.000000,0.091957
250.000000,0.091683
251.000000,0.091858
252.000000,0.091688
